iter	Logloss
0	0.6415875746
1	0.5972274545
2	0.5587701406
3	0.5291148927
4	0.5019744741
5	0.4773814045
6	0.4578030019
7	0.4396884988
8	0.4239185845
9	0.4117680116
10	0.4006997017
11	0.3915908555
12	0.3826157882
13	0.3758962126
14	0.3717674696
15	0.366408823
16	0.3616283302
17	0.35777255
18	0.3544925172
19	0.3509162495
20	0.3472221666
21	0.3446006156
22	0.3415414205
23	0.33921727
24	0.3367668721
25	0.3348837364
26	0.3335399134
27	0.3317395654
28	0.330352816
29	0.3282870085
30	0.3269217551
31	0.3256883781
32	0.3243134908
33	0.3231080853
34	0.3218364171
35	0.3206614552
36	0.3193768391
37	0.318646779
38	0.31768484
39	0.3166877841
40	0.3159030265
41	0.3149582968
42	0.3139677863
43	0.3132942426
44	0.3121944879
45	0.3114609753
46	0.3108653317
47	0.3103547304
48	0.3094371015
49	0.3088638622
50	0.3084532252
51	0.3081883457
52	0.3073586177
53	0.3065761874
54	0.3060737068
55	0.3052322708
56	0.3048231582
57	0.3043593289
58	0.304065816
59	0.3036968973
60	0.3029046588
61	0.3025956851
62	0.3023312282
63	0.3019267841
64	0.3016808772
65	0.3014296829
66	0.3009789725
67	0.300701634
68	0.3003473181
69	0.3000812347
70	0.2997392333
71	0.2994850851
72	0.2992085669
73	0.2986188141
74	0.2984213186
75	0.2982091857
76	0.2978876331
77	0.2976806364
78	0.2975188072
79	0.296902912
80	0.296719542
81	0.2964864301
82	0.2962905164
83	0.2961179707
84	0.2959177289
85	0.2957219041
86	0.2954846481
87	0.2949142063
88	0.29452241
89	0.2943877185
90	0.2941372558
91	0.2939909893
92	0.2937861256
93	0.2935485801
94	0.2933252858
95	0.2931104671
96	0.2929715013
97	0.2928174681
98	0.2923720767
99	0.2922150255
100	0.2920734444
101	0.29188862
102	0.2915013837
103	0.2913413087
104	0.2911768101
105	0.2906340845
106	0.2905222638
107	0.2904061599
108	0.2902456791
109	0.2901198104
110	0.2898008963
111	0.2896726086
112	0.2895384564
113	0.2891962953
114	0.289081341
115	0.288922399
116	0.2887845925
117	0.2886764227
118	0.2883582992
119	0.2882662186
120	0.2881172151
121	0.2879417755
122	0.2877514341
123	0.2876676716
124	0.2875676961
125	0.2874618603
126	0.2873234
127	0.2869331904
128	0.2868347926
129	0.2867546806
130	0.2866502499
131	0.2864364677
132	0.2861663294
133	0.2860340885
134	0.2858904872
135	0.2857514701
136	0.2856031234
137	0.2855162055
138	0.2854152901
139	0.2853299983
140	0.2852635013
141	0.2852033823
142	0.2850564434
143	0.2849403219
144	0.2848760589
145	0.2847378857
146	0.2846338012
147	0.2845436132
148	0.284431132
149	0.284314535
150	0.2842365734
151	0.2841389048
152	0.2840152343
153	0.2838078248
154	0.2837345681
155	0.2836638302
156	0.2835899448
157	0.2835193738
158	0.2833072165
159	0.2832397542
160	0.2831217803
161	0.2830287679
162	0.2829783732
163	0.2828400593
164	0.2825817868
165	0.2825064109
166	0.2823900132
167	0.2821941167
168	0.2821579611
169	0.2816974209
170	0.2816418207
171	0.281535538
172	0.281416125
173	0.2812792276
174	0.2811809125
175	0.2811251057
176	0.2810482549
177	0.2809869714
178	0.2809204662
179	0.2807616254
180	0.2806696587
181	0.280577459
182	0.2804613615
183	0.2803711089
184	0.2802116051
