iter	Passed	Remaining
0	63	63366
1	94	47098
2	124	41454
3	165	41236
4	211	42017
5	253	41945
6	281	39932
7	316	39200
8	346	38159
9	376	37256
10	407	36675
11	436	35957
12	471	35769
13	487	34330
14	494	32483
15	502	30902
16	509	29477
17	516	28199
18	524	27085
19	531	26048
20	539	25137
21	555	24682
22	571	24263
23	586	23859
24	601	23463
25	617	23143
26	630	22727
27	643	22345
28	655	21940
29	670	21675
30	694	21716
31	712	21554
32	730	21398
33	747	21242
34	762	21028
35	778	20844
36	790	20571
37	805	20402
38	820	20225
39	834	20036
40	849	19866
41	862	19662
42	874	19455
43	888	19302
44	901	19121
45	914	18956
46	927	18810
47	941	18664
48	952	18493
49	964	18329
50	976	18177
51	989	18046
52	1001	17888
53	1012	17736
54	1022	17576
55	1031	17394
56	1044	17275
57	1056	17155
58	1067	17028
59	1078	16895
60	1090	16781
61	1102	16674
62	1116	16606
63	1132	16559
64	1148	16518
65	1162	16446
66	1177	16397
67	1192	16343
68	1198	16169
69	1204	16006
70	1213	15874
71	1218	15710
72	1224	15551
73	1232	15421
74	1238	15277
75	1244	15132
76	1250	14989
77	1264	14946
78	1278	14899
79	1290	14842
80	1303	14787
81	1319	14775
82	1325	14642
83	1330	14513
84	1336	14386
85	1342	14266
86	1347	14143
87	1353	14022
88	1358	13904
89	1364	13791
90	1369	13679
91	1374	13568
92	1380	13463
93	1386	13362
94	1391	13259
95	1397	13163
96	1403	13063
97	1408	12967
98	1414	12871
99	1420	12782
100	1425	12689
101	1431	12599
102	1436	12512
103	1442	12428
104	1448	12344
105	1458	12299
106	1472	12285
107	1483	12254
108	1495	12224
109	1507	12197
110	1522	12197
111	1557	12348
112	1578	12389
113	1608	12497
114	1628	12534
115	1655	12616
116	1680	12680
117	1703	12733
118	1728	12794
119	1753	12855
120	1781	12943
121	1812	13042
122	1832	13062
123	1866	13187
124	1888	13218
125	1909	13247
126	1935	13306
127	1960	13355
128	1984	13397
129	2007	13435
130	2028	13458
131	2056	13519
132	2080	13561
133	2108	13627
134	2136	13691
135	2167	13771
136	2196	13839
137	2211	13811
138	2227	13800
139	2247	13808
140	2268	13817
141	2276	13754
142	2286	13703
143	2299	13667
144	2310	13622
145	2325	13602
146	2337	13563
147	2348	13519
148	2359	13475
149	2369	13429
150	2380	13383
151	2391	13340
152	2401	13294
153	2411	13248
154	2422	13207
155	2433	13163
156	2443	13118
157	2453	13072
158	2463	13029
159	2473	12983
160	2483	12941
161	2493	12899
162	2503	12856
163	2513	12814
164	2523	12771
165	2533	12729
166	2544	12689
167	2552	12643
168	2565	12613
169	2570	12548
170	2575	12483
171	2580	12420
172	2584	12356
173	2589	12294
174	2596	12239
175	2601	12177
176	2606	12117
177	2610	12057
178	2615	11997
179	2622	11947
180	2633	11916
181	2643	11882
182	2653	11848
183	2664	11815
184	2674	11782
185	2684	11749
186	2695	11720
187	2705	11687
188	2715	11653
189	2726	11625
190	2737	11593
191	2753	11588
192	2766	11568
193	2780	11553
194	2793	11534
195	2807	11515
196	2820	11495
197	2830	11463
198	2839	11431
199	2852	11411
200	2862	11379
201	2872	11348
202	2882	11317
203	2893	11289
204	2905	11267
205	2915	11239
206	2925	11207
207	2937	11185
208	2948	11159
209	2959	11131
210	2969	11103
211	2979	11075
212	2990	11049
213	3000	11019
214	3008	10985
215	3014	10942
216	3020	10898
217	3025	10853
218	3031	10811
219	3037	10769
220	3042	10725
221	3048	10683
222	3054	10641
223	3059	10599
224	3064	10557
225	3070	10515
226	3096	10545
227	3120	10567
228	3145	10590
229	3168	10606
230	3197	10643
231	3211	10630
232	3224	10616
233	3250	10640
234	3306	10762
235	3336	10800
236	3343	10763
237	3349	10723
238	3355	10685
239	3366	10660
240	3376	10633
241	3391	10621
242	3403	10601
243	3416	10586
244	3422	10546
245	3435	10530
246	3448	10512
247	3461	10495
248	3474	10478
249	3485	10456
250	3497	10435
251	3508	10412
252	3521	10397
253	3533	10377
254	3548	10365
255	3555	10334
256	3562	10298
257	3568	10261
258	3573	10224
259	3581	10192
260	3586	10155
261	3592	10118
262	3597	10082
263	3603	10046
264	3609	10010
265	3614	9975
266	3621	9941
267	3627	9907
268	3635	9880
269	3642	9847
270	3647	9812
271	3653	9779
272	3659	9745
273	3664	9710
274	3670	9676
275	3675	9642
276	3681	9608
277	3686	9574
278	3692	9541
279	3697	9507
280	3702	9473
281	3707	9440
282	3714	9411
283	3720	9379
284	3725	9347
285	3731	9315
286	3739	9290
287	3748	9266
288	3754	9237
289	3761	9208
290	3767	9179
291	3773	9149
292	3779	9120
293	3785	9090
294	3791	9061
295	3796	9030
296	3802	9000
297	3807	8969
298	3813	8939
299	3818	8909
300	3823	8879
301	3829	8850
302	3834	8821
303	3839	8791
304	3845	8762
305	3850	8733
306	3856	8705
307	3861	8676
308	3867	8648
309	3872	8620
310	3878	8592
311	3884	8565
312	3891	8541
313	3899	8520
314	3909	8501
315	3920	8485
316	3933	8474
317	3946	8462
318	3958	8450
319	3964	8423
320	3969	8397
321	3975	8371
322	3982	8346
323	3998	8341
324	4009	8327
325	4021	8313
